Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
103,Allen Hurns,JAX,26,WR,10,8,56,39,69.60%,484,12.4,2,28,50,8.6,3.9,48.4,0,2017
206,Allen Hurns,DAL,27,WR,16,7,35,20,57.10%,295,14.8,2,11,49,8.4,1.3,18.4,1,2018
138,Allen Hurns,MIA,28,WR,14,7,47,32,68.10%,416,13,2,18,27,8.9,2.3,29.7,1,2019
466,Allen Lazard,GNB,23,WR,1,0,1,1,100.00%,7,7,0,0,7,7,1,7,0,2018
123,Allen Lazard,GNB,24,WR,16,3,52,35,67.30%,477,13.6,3,24,43,9.2,2.2,29.8,0,2019
136,Allen Lazard,GNB,25,WR,10,9,46,33,71.70%,451,13.7,3,23,72,9.8,3.3,45.1,0,2020
109,Allen Lazard,GNB,26,WR,15,13,60,40,66.70%,513,12.8,8,28,42,8.6,2.7,34.2,0,2021
52,Allen Lazard,GNB,27,WR,15,15,100,60,60.00%,788,13.1,6,45,47,7.9,4,52.5,0,2022
85,Allen Robinson,JAX,21,WR,10,8,81,48,59.30%,548,11.4,2,26,54,6.8,4.8,54.8,0,2014
32,Allen Robinson,JAX,23,WR,16,16,151,73,48.30%,883,12.1,6,51,42,5.8,4.6,55.2,1,2016
452,Allen Robinson,JAX,24,WR,1,1,1,1,100.00%,17,17,0,1,17,17,1,17,0,2017
63,Allen Robinson,CHI,25,WR,13,12,94,55,58.50%,754,13.7,4,36,43,8,4.2,58,1,2018
7,Allen Robinson,CHI,26,WR,16,15,154,98,63.60%,1147,11.7,7,63,49,7.4,6.1,71.7,0,2019
6,Allen Robinson,CHI,27,WR,16,16,151,102,67.50%,1250,12.3,6,68,42,8.3,6.4,78.1,0,2020
120,Allen Robinson,CHI,28,WR,12,11,66,38,57.60%,410,10.8,1,22,39,6.2,3.2,34.2,0,2021
135,Allen Robinson,LAR,29,WR,10,10,52,33,63.50%,339,10.3,3,23,29,6.5,3.3,33.9,0,2022
