,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
133,130,Adrian Peterson,MIN,29,RB,1,1,21,75,0,4,17,3.6,75,0,2014
93,91,Adrian Peterson,MIN,31,RB,3,3,37,72,0,3,13,1.9,24,1,2016
31,31,Adrian Peterson,2TM,32,RB,10,7,156,529,2,0,27,3.4,52.9,3,2017
4,5,Adrian Peterson,WAS,33,RB,16,16,251,1042,7,47,90,4.2,65.1,3,2018
18,19,Adrian Peterson,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3,2019
22,23,Adrian Peterson,DET,35,RB,16,10,156,604,7,34,38,3.9,37.8,0,2020
113,111,Adrian Peterson,2TM,36,RB,4,3,38,98,2,6,16,2.6,24.5,1,2021
13,14,Adrian Peterson*,MIN,22,RB,14,9,238,1341,12,63,73,5.6,95.8,4,2007
8,9,Adrian Peterson*,MIN,25,RB,15,15,283,1298,12,71,80,4.6,86.5,1,2010
6,7,Adrian Peterson*,MIN,28,RB,14,14,279,1266,10,61,78,4.5,90.4,5,2013
1,2,Adrian Peterson*+,MIN,23,RB,16,15,363,1760,10,82,67,4.8,110,9,2008
3,4,Adrian Peterson*+,MIN,24,RB,16,15,314,1383,18,76,64,4.4,86.4,7,2009
1,2,Adrian Peterson*+,MIN,27,RB,16,16,348,2097,12,88,82,6,131.1,4,2012
0,1,Adrian Peterson*+,MIN,30,RB,16,16,327,1485,11,72,80,4.5,92.8,7,2015
114,112,Ahmad Bradshaw,NYG,21,RB,12,0,23,190,1,6,88,8.3,15.8,2,2007
67,66,Ahmad Bradshaw,NYG,22,RB,15,0,67,355,1,14,77,5.3,23.7,3,2008
31,31,Ahmad Bradshaw,NYG,23,RB,15,1,163,778,7,47,38,4.8,51.9,3,2009
9,10,Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,53,48,4.5,77.2,7,2010
